6-31++G(d_p),3s1p,3s1p,1s3sp3p1d,1s3sp3p1d,1s3sp3p1d,1s3sp3p1d,1s3sp3p1d,1s3sp3p1d,1s3sp3p1d,1s3sp3p1d,1s4sp4p1d,6s1sp5p2d
6-31++G(3df_3pd),3s3p1d,3s3p1d,1s3sp3p3d1f,1s3sp3p3d1f,1s3sp3p3d1f,1s3sp3p3d1f,1s3sp3p3d1f,1s3sp3p3d1f,1s3sp3p3d1f,1s3sp3p3d1f,1s4sp4p3d1f,6s1sp5p4d1f
6-311G,3s,3s,1s3sp3p,1s3sp3p,1s3sp3p,1s3sp3p,1s3sp3p,1s3sp3p,1s3sp3p,1s3sp3p,6s5p,8s7p2d
6-311G(d),3s,3s,1s3sp3p1d,1s3sp3p1d,1s3sp3p1d,1s3sp3p1d,1s3sp3p1d,1s3sp3p1d,1s3sp3p1d,1s3sp3p1d,6s5p1d,8s7p3d
6-311G(d_p),3s1p,3s1p,1s3sp3p1d,1s3sp3p1d,1s3sp3p1d,1s3sp3p1d,1s3sp3p1d,1s3sp3p1d,1s3sp3p1d,1s3sp3p1d,6s5p1d,8s7p3d
6-311G(3df_3pd),3s3p1d,3s3p1d,1s3sp3p3d1f,1s3sp3p3d1f,1s3sp3p3d1f,1s3sp3p3d1f,1s3sp3p3d1f,1s3sp3p3d1f,1s3sp3p3d1f,1s3sp3p3d1f,6s5p3d1f,8s7p5d1f
6-311+G,3s,3s,1s4sp4p,1s4sp4p,1s4sp4p,1s4sp4p,1s4sp4p,1s4sp4p,1s4sp4p,1s4sp4p,6s1sp6p,8s1sp8p2d
6-311+G(d),3s,3s,1s4sp4p1d,1s4sp4p1d,1s4sp4p1d,1s4sp4p1d,1s4sp4p1d,1s4sp4p1d,1s4sp4p1d,1s4sp4p1d,6s1sp6p1d,8s1sp8p3d
6-311+G(d_p),3s1p,3s1p,1s4sp4p1d,1s4sp4p1d,1s4sp4p1d,1s4sp4p1d,1s4sp4p1d,1s4sp4p1d,1s4sp4p1d,1s4sp4p1d,6s1sp6p1d,8s1sp8p3d
6-311+G(3df_3pd),3s3p1d,3s3p1d,1s4sp4p3d1f,1s4sp4p3d1f,1s4sp4p3d1f,1s4sp4p3d1f,1s4sp4p3d1f,1s4sp4p3d1f,1s4sp4p3d1f,1s4sp4p3d1f,6s1sp6p3d1f,8s1sp8p5d1f
6-311++G,4s,4s,1s4sp4p,1s4sp4p,1s4sp4p,1s4sp4p,1s4sp4p,1s4sp4p,1s4sp4p,1s4sp4p,6s1sp6p,8s1sp8p2d
6-311++G(d),4s,4s,1s4sp4p1d,1s4sp4p1d,1s4sp4p1d,1s4sp4p1d,1s4sp4p1d,1s4sp4p1d,1s4sp4p1d,1s4sp4p1d,6s1sp6p1d,8s1sp8p3d
6-311++G(d_p),4s1p,4s1p,1s4sp4p1d,1s4sp4p1d,1s4sp4p1d,1s4sp4p1d,1s4sp4p1d,1s4sp4p1d,1s4sp4p1d,1s4sp4p1d,6s1sp6p1d,8s1sp8p3d
6-311++G(3df_3pd),4s3p1d,4s3p1d,1s4sp4p3d1f,1s4sp4p3d1f,1s4sp4p3d1f,1s4sp4p3d1f,1s4sp4p3d1f,1s4sp4p3d1f,1s4sp4p3d1f,1s4sp4p3d1f,6s1sp6p3d1f,8s1sp8p5d1f
cc-pVDZ,2s1p,2s1p,3s2p1d,3s2p1d,3s2p1d,3s2p1d,3s2p1d,3s2p1d,3s2p1d,3s2p1d,4s3p1d,5s4p2d
cc-pVTZ,3s2p1d,3s2p1d,4s3p2d1f,4s3p2d1f,4s3p2d1f,4s3p2d1f,4s3p2d1f,4s3p2d1f,4s3p2d1f,4s3p2d1f,5s4p2d1f,6s5p3d1f
cc-pVQZ,4s3p2d1f,4s3p2d1f,5s4p3d2f1g,5s4p3d2f1g,5s4p3d2f1g,5s4p3d2f1g,5s4p3d2f1g,5s4p3d2f1g,5s4p3d2f1g,5s4p3d2f1g,6s5p3d2f1g,7s6p4d2f1g
cc-pV5Z,5s4p3d2f1g,5s4p3d2f1g,6s5p4d3f2g1h,6s5p4d3f2g1h,6s5p4d3f2g1h,6s5p4d3f2g1h,6s5p4d3f2g1h,6s5p4d3f2g1h,6s5p4d3f2g1h,6s5p4d3f2g1h,7s6p4d3f2g1h,8s7p5d3f2g1h
aug-cc-pVDZ,3s2p,3s2p,4s3p2d,4s3p2d,4s3p2d,4s3p2d,4s3p2d,4s3p2d,4s3p2d,4s3p2d,5s4p2d,6s5p3d
aug-cc-pVTZ,4s3p2d,4s3p2d,5s4p3d2f,5s4p3d2f,5s4p3d2f,5s4p3d2f,5s4p3d2f,5s4p3d2f,5s4p3d2f,5s4p3d2f,6s5p3d2f,7s6p4d2f
aug-cc-pVQZ,5s4p3d2f,5s4p3d2f,6s5p4d3f2g,6s5p4d3f2g,6s5p4d3f2g,6s5p4d3f2g,6s5p4d3f2g,6s5p4d3f2g,6s5p4d3f2g,6s5p4d3f2g,7s6p4d3f2g,8s7p5d3f2g
aug-cc-pV5Z,6s5p4d3f2g,6s5p4d3f2g,7s6p5d4f3g2h,7s6p5d4f3g2h,7s6p5d4f3g2h,7s6p5d4f3g2h,7s6p5d4f3g2h,7s6p5d4f3g2h,7s6p5d4f3g2h,7s6p5d4f3g2h,8s7p5d4f3g2h,9s8p6d4f3g2h
EPR-II,4s1p,5s2p1d,6s2p1d,6s2p1d,6s2p1d,6s3p1d
EPR-III,5s2p,7s4p1d,7s4p,7s4p2d,8s5p2d1f,8s5p2d1f,8s5p2d1f,8s5p2d1f
